SCHUL_NM,ADRCD_NM,SCHUL_KND_SC_CODE,SEM_STR,AIR_BACT,FALL_BACT,MITE,RN,O3,ASBESTOS
서울송파초등학교,서울특별시 송파구,2,하반기,217.0,1.603230313293819,20.0,20.6,0.03,0.0
서울신가초등학교,서울특별시 송파구,2,상반기,330.0,1.0,20.0,25.1,0.011,0.01
서울신가초등학교,서울특별시 송파구,2,하반기,783.0,1.0,0.2,0.0,0.01,0.0
서울신명초등학교,서울특별시 강동구,2,상반기,160.5,1.0,20.0,45.43074929577464,0.010499999999999999,0.003964597478176527
서울신명초등학교,서울특별시 강동구,2,하반기,513.0,1.0,20.0,40.9,0.01,0.0
서울신암초등학교,서울특별시 강동구,2,상반기,477.0,1.0,0.0,26.6,0.023,0.0
서울신암초등학교,서울특별시 강동구,2,하반기,226.0,2.0,0.0,50.4,0.01,0.0
서울신천초등학교,서울특별시 송파구,2,상반기,774.2,2.7,20.0,34.1,0.026,0.004
서울신천초등학교,서울특별시 송파구,2,하반기,754.4,2.0,20.0,34.1,0.02,0.0
서울아주초등학교,서울특별시 송파구,2,상반기,785.0,2.0,20.0,14.8,0.023,0.01
서울아주초등학교,서울특별시 송파구,2,하반기,417.0,0.0,10.0,10.7,0.0,0.0
서울영풍초등학교,서울특별시 송파구,2,상반기,601.0,1.603230313293819,20.0,19.5,0.013,0.01
서울영풍초등학교,서울특별시 송파구,2,하반기,681.0,1.603230313293819,20.0,23.5,0.01,0.0
서울오금초등학교,서울특별시 송파구,2,상반기,63.5,1.0,20.0,11.7,0.0095,0.0005
서울오금초등학교,서울특별시 송파구,2,하반기,235.0,1.0,20.0,0.0,0.01,0.0
서울오륜초등학교,서울특별시 송파구,2,상반기,638.0,2.0,20.0,47.5,0.009,0.003964597478176527
서울오륜초등학교,서울특별시 송파구,2,하반기,599.0,2.0,20.0,47.5,0.0,0.0
서울잠동초등학교,서울특별시 송파구,2,상반기,336.6977637130801,1.603230313293819,17.980964673913046,45.43074929577464,0.021434327176781006,0.003964597478176527
서울잠동초등학교,서울특별시 송파구,2,하반기,602.0,5.0,20.0,40.6,0.01,0.0
서울잠신초등학교,서울특별시 송파구,2,상반기,77.0,1.0,0.2,75.1,0.013,0.0
서울잠신초등학교,서울특별시 송파구,2,하반기,36.0,1.0,20.0,75.1,0.01,0.003964597478176527
서울잠실초등학교,서울특별시 송파구,2,상반기,800.0,1.603230313293819,17.980964673913046,45.43074929577464,0.06,0.003964597478176527
서울잠실초등학교,서울특별시 송파구,2,하반기,519.9,1.603230313293819,20.0,55.8,0.01,0.003964597478176527
서울잠일초등학교,서울특별시 송파구,2,상반기,264.0,1.603230313293819,20.0,45.43074929577464,0.02,0.003964597478176527
서울잠일초등학교,서울특별시 송파구,2,하반기,114.0,5.0,20.0,39.0,0.02,0.003964597478176527
서울잠전초등학교,서울특별시 송파구,2,상반기,323.0,2.0,0.2,6.0,0.019,0.0
서울잠전초등학교,서울특별시 송파구,2,하반기,323.0,2.0,20.0,6.5,0.01,0.003964597478176527
서울중대초등학교,서울특별시 송파구,2,상반기,494.7,2.7,20.0,28.6,0.026,0.0
서울중대초등학교,서울특별시 송파구,2,하반기,658.9,3.0,20.0,8.1,0.01,0.003964597478176527
서울천동초등학교,서울특별시 강동구,2,상반기,519.0,2.0,20.0,14.0,0.01,0.0
서울천동초등학교,서울특별시 강동구,2,하반기,389.0,3.0,20.0,14.0,0.01,0.0
서울천일초등학교,서울특별시 강동구,2,상반기,611.5,1.603230313293819,20.0,23.0,0.013999999999999999,0.0
서울천일초등학교,서울특별시 강동구,2,하반기,602.0,1.603230313293819,20.0,5.1,0.0,0.003964597478176527
서울천호초등학교,서울특별시 강동구,2,상반기,647.0,1.0,0.0,38.5,0.012,0.003964597478176527
서울천호초등학교,서울특별시 강동구,2,하반기,348.04,0.7,20.0,31.0,0.01,0.003964597478176527
서울토성초등학교,서울특별시 송파구,2,상반기,431.0,4.0,20.0,34.5,0.01,0.01
서울토성초등학교,서울특별시 송파구,2,하반기,692.0,1.603230313293819,20.0,31.4,0.0,0.0
서울평화초등학교,서울특별시 송파구,2,상반기,625.5,1.0,0.2,45.05,0.0135,0.0
서울평화초등학교,서울특별시 송파구,2,하반기,722.0,2.0,20.0,61.8,0.01,0.0
서울풍납초등학교,서울특별시 송파구,2,상반기,340.0,1.0,20.0,13.0,0.016,0.0
서울풍납초등학교,서울특별시 송파구,2,하반기,356.0,4.0,20.0,71.9,0.0,0.0
서울풍성초등학교,서울특별시 송파구,2,상반기,763.0,1.0,20.0,32.7,0.011,0.0
서울풍성초등학교,서울특별시 송파구,2,하반기,421.0,1.603230313293819,20.0,66.5,0.0,0.0
서울한산초등학교,서울특별시 강동구,2,상반기,480.0,0.0,0.0,11.0,0.011,0.01
서울한산초등학교,서울특별시 강동구,2,하반기,710.0,1.603230313293819,20.0,12.0,0.01,0.0
서울가곡초등학교,서울특별시 강서구,2,상반기,178.6,1.5,20.0,66.0,0.015,0.003964597478176527
서울가곡초등학교,서울특별시 강서구,2,하반기,665.1,2.0,20.0,128.0,0.01,0.003964597478176527
서울가양초등학교,서울특별시 강서구,2,상반기,250.9,2.0,20.0,45.43074929577464,0.013,0.001
서울가양초등학교,서울특별시 강서구,2,하반기,250.9,1.7,20.0,77.0,0.01,0.0
서울갈산초등학교,서울특별시 양천구,2,상반기,0.0,0.0,0.0,17.0,0.01,0.003964597478176527
서울갈산초등학교,서울특별시 양천구,2,하반기,785.0,0.0,0.0,110.3,0.01,0.0
서울강서초등학교,서울특별시 양천구,2,상반기,337.0,1.603230313293819,20.0,26.2,0.04,0.003964597478176527
서울강서초등학교,서울특별시 양천구,2,하반기,316.0,1.603230313293819,20.0,26.2,0.02,0.0
서울강신초등학교,서울특별시 양천구,2,상반기,133.9,1.7,20.0,111.0,0.013,0.003964597478176527
서울강신초등학교,서울특별시 양천구,2,하반기,671.7,1.7,20.0,45.43074929577464,0.04,0.003964597478176527
서울강월초등학교,서울특별시 양천구,2,상반기,181.35,1.1,20.0,43.0,0.01,0.001
서울강월초등학교,서울특별시 양천구,2,하반기,604.9,1.0,0.0,100.0,0.01,0.0
서울개화초등학교,서울특별시 강서구,2,상반기,255.3,1.5,20.0,66.0,0.01,0.001
서울개화초등학교,서울특별시 강서구,2,하반기,658.6,2.0,20.0,38.5,0.01,0.0
서울경인초등학교,서울특별시 양천구,2,상반기,146.64999999999998,1.0,20.0,32.0,0.015,0.001
서울경인초등학교,서울특별시 양천구,2,하반기,684.0,1.0,0.0,40.0,0.01,0.0
서울계남초등학교,서울특별시 양천구,2,상반기,245.5,1.3,20.0,39.8,0.01,0.01
서울계남초등학교,서울특별시 양천구,2,하반기,662.0,1.603230313293819,20.0,19.1,0.01,0.01
서울공진초등학교,서울특별시 강서구,2,상반기,288.2,0.7,20.0,102.0,0.002,0.003964597478176527
서울공진초등학교,서울특별시 강서구,2,하반기,288.2,0.7,20.0,102.0,0.02,0.003964597478176527
서울공항초등학교,서울특별시 강서구,2,상반기,234.5,1.7,20.0,39.0,0.017,0.003964597478176527
서울공항초등학교,서울특별시 강서구,2,하반기,688.0,2.0,0.0,70.0,0.01,0.003964597478176527
서울남명초등학교,서울특별시 양천구,2,상반기,508.0,0.7,20.0,65.0,0.01,0.01
서울남명초등학교,서울특별시 양천구,2,하반기,625.1,1.3,20.0,47.0,0.01,0.0
서울내발산초등학교,서울특별시 강서구,2,상반기,540.0,1.603230313293819,0.0,62.0,0.01,0.01
서울내발산초등학교,서울특별시 강서구,2,하반기,527.0,1.603230313293819,20.0,59.7,0.01,0.01
서울등명초등학교,서울특별시 강서구,2,상반기,181.0,1.3,20.0,32.0,0.013,0.003964597478176527
서울등명초등학교,서울특별시 강서구,2,하반기,526.0,1.0,20.0,34.6,0.02,0.003964597478176527
서울등서초등학교,서울특별시 강서구,2,상반기,103.0,0.3,20.0,62.0,0.01,0.003964597478176527
서울등서초등학교,서울특별시 강서구,2,하반기,198.0,1.603230313293819,20.0,34.1,0.01,0.003964597478176527
서울등양초등학교,서울특별시 강서구,2,상반기,136.0,1.7,20.0,85.0,0.01,0.01
서울등양초등학교,서울특별시 강서구,2,하반기,186.0,1.603230313293819,20.0,27.9,0.01,0.01
서울등원초등학교,서울특별시 강서구,2,상반기,403.0,1.0,20.0,81.0,0.01,0.0
서울등원초등학교,서울특별시 강서구,2,하반기,534.0,0.0,0.0,24.2,0.01,0.0
서울등촌초등학교,서울특별시 강서구,2,상반기,221.7,1.15,20.0,85.0,0.015,0.003964597478176527
서울등촌초등학교,서울특별시 강서구,2,하반기,725.6,1.0,20.0,51.0,0.01,0.003964597478176527
서울등현초등학교,서울특별시 강서구,2,상반기,478.0,1.603230313293819,20.0,68.0,0.025,0.01
